j - 629	 i - 11
j - 630	 i - 15
j - 631	 i - 16
j - 632	 i - 12
j - 633	 i - 3
j - 634	 i - 17
j - 635	 i - 19
j - 636	 i - 17
j - 637	 i - 16
j - 638	 i - 17
j - 639	 i - 22
j - 640	 i - 10
j - 641	 i - 5
j - 642	 i - 15
j - 643	 i - 8
j - 644	 i - 13
j - 645	 i - 18
j - 646	 i - 1
j - 647	 i - 11
j - 648	 i - 24
j - 649	 i - 20
j - 650	 i - 20
j - 651	 i - 18
j - 652	 i - 6
j - 653	 i - 11
j - 654	 i - 20
j - 655	 i - 23
j - 656	 i - 24
j - 657	 i - 12
j - 658	 i - 4
j - 659	 i - 22
j - 660	 i - 8
j - 661	 i - 6
j - 662	 i - 12
j - 663	 i - 23
j - 664	 i - 20
j - 665	 i - 11
j - 666	 i - 15
j - 667	 i - 11
j - 668	 i - 18
j - 669	 i - 16
j - 670	 i - 3
j - 671	 i - 20
j - 672	 i - 21
j - 673	 i - 3
j - 674	 i - 18
j - 675	 i - 23
j - 676	 i - 6
j - 677	 i - 18
j - 678	 i - 23
j - 679	 i - 20
j - 680	 i - 22
j - 681	 i - 16
